CMDLINE taskset -c 0-80 python Run_experiments_1.py
MEM 1.527344 1711008287.5879
MEM 35.460938 1711008287.7576
MEM 70.441406 1711008287.9405
MEM 93.242188 1711008288.1176
MEM 107.824219 1711008288.2924
MEM 118.066406 1711008288.4681
MEM 126.617188 1711008288.6458
MEM 146.269531 1711008288.8230
MEM 160.125000 1711008289.0053
MEM 164.902344 1711008289.2309
MEM 181.167969 1711008289.4414
MEM 255.703125 1711008289.6618
MEM 293.078125 1711008289.8419
MEM 338.074219 1711008290.0228
MEM 379.808594 1711008290.2030
MEM 385.593750 1711008290.3778
MEM 402.914062 1711008290.5515
MEM 409.054688 1711008290.7263
MEM 411.406250 1711008290.9050
MEM 426.644531 1711008291.0847
MEM 433.734375 1711008291.2631
MEM 436.246094 1711008291.4388
MEM 436.246094 1711008291.6175
MEM 440.843750 1711008291.7980
MEM 458.031250 1711008291.9798
MEM 6237.402344 1711008292.1591
MEM 14033.652344 1711008292.3348
MEM 21252.808594 1711008292.5169
MEM 24470.816406 1711008292.7061
MEM 25061.699219 1711008292.8961
MEM 25618.378906 1711008293.0883
MEM 26001.257812 1711008293.2835
MEM 26345.042969 1711008293.4792
MEM 26645.628906 1711008293.6717
MEM 26849.472656 1711008293.8683
MEM 26992.371094 1711008294.0586
MEM 27117.492188 1711008294.2473
MEM 27285.042969 1711008294.4377
MEM 27570.246094 1711008294.6494
MEM 27788.277344 1711008294.8372
MEM 28011.000000 1711008295.0221
MEM 28146.214844 1711008295.2081
MEM 28277.742188 1711008295.3936
MEM 28390.191406 1711008295.5799
MEM 28479.492188 1711008295.7619
MEM 28630.957031 1711008295.9491
MEM 28833.500000 1711008296.1445
MEM 29033.128906 1711008296.3340
MEM 29223.941406 1711008296.5317
MEM 29372.363281 1711008296.7159
MEM 29499.089844 1711008296.9107
MEM 29649.542969 1711008297.1548
MEM 29799.910156 1711008297.3518
MEM 29927.585938 1711008297.5495
MEM 30117.984375 1711008298.0359
MEM 30215.066406 1711008298.4931
MEM 30284.246094 1711008298.9428
MEM 30329.609375 1711008299.3583
MEM 30356.890625 1711008299.6717
MEM 30379.625000 1711008299.9243
MEM 30394.687500 1711008300.1084
MEM 30407.113281 1711008300.2925
MEM 30418.511719 1711008300.4732
MEM 30431.679688 1711008300.6590
MEM 30447.695312 1711008300.8439
MEM 30463.605469 1711008301.0259
MEM 30478.007812 1711008301.2077
MEM 30491.324219 1711008301.3895
MEM 30506.515625 1711008301.5734
MEM 30519.574219 1711008301.7569
MEM 30532.316406 1711008301.9411
MEM 30542.593750 1711008302.1254
MEM 30551.050781 1711008302.3089
MEM 30560.109375 1711008302.4889
MEM 30569.250000 1711008302.6695
MEM 30577.863281 1711008302.8505
MEM 30587.980469 1711008303.0324
MEM 30596.574219 1711008303.2145
MEM 30605.757812 1711008303.3950
MEM 30614.750000 1711008303.5789
MEM 30623.382812 1711008303.7603
MEM 30631.121094 1711008303.9447
MEM 30641.515625 1711008304.1284
MEM 30650.171875 1711008304.3139
MEM 30657.589844 1711008304.4971
MEM 30666.449219 1711008304.6783
MEM 30674.003906 1711008304.8593
MEM 30682.621094 1711008305.0419
MEM 30690.910156 1711008305.2238
MEM 30700.023438 1711008305.4044
MEM 30707.015625 1711008305.5899
MEM 30715.191406 1711008305.7742
MEM 30723.410156 1711008305.9551
MEM 30730.035156 1711008306.1391
MEM 30737.074219 1711008306.3265
MEM 30743.554688 1711008306.5104
MEM 30750.093750 1711008306.6927
MEM 30756.804688 1711008306.8752
MEM 30762.929688 1711008307.0584
MEM 30769.246094 1711008307.2414
MEM 30776.070312 1711008307.4234
MEM 30781.863281 1711008307.6088
MEM 30789.484375 1711008307.7930
MEM 30796.789062 1711008307.9772
MEM 30806.609375 1711008308.2539
MEM 30817.503906 1711008308.5354
MEM 30827.476562 1711008308.8148
