CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run1.py
MEM 587.535156 1701186960.9164
MEM 587.535156 1701186961.0682
MEM 587.535156 1701186961.2115
MEM 588.355469 1701186961.3591
MEM 591.500000 1701186961.5288
MEM 591.500000 1701186961.6995
MEM 591.500000 1701186961.8702
MEM 591.500000 1701186962.0405
MEM 591.500000 1701186962.2129
MEM 591.500000 1701186962.3844
MEM 591.500000 1701186962.5517
MEM 592.714844 1701186962.7182
MEM 594.261719 1701186962.8896
MEM 594.261719 1701186963.0610
MEM 594.261719 1701186963.2319
MEM 594.261719 1701186963.4028
MEM 594.261719 1701186963.5732
MEM 594.261719 1701186963.7420
MEM 594.261719 1701186963.9125
MEM 594.261719 1701186964.0836
MEM 594.261719 1701186964.2541
MEM 594.519531 1701186964.4251
MEM 594.519531 1701186964.5960
MEM 594.519531 1701186964.7664
MEM 594.519531 1701186964.9381
MEM 594.761719 1701186965.1094
MEM 594.761719 1701186965.2802
MEM 594.761719 1701186965.4505
MEM 594.761719 1701186965.6220
MEM 594.761719 1701186965.7931
MEM 594.886719 1701186965.9553
MEM 594.886719 1701186966.1253
MEM 594.886719 1701186966.2957
MEM 594.886719 1701186966.4666
MEM 594.886719 1701186966.6370
MEM 594.886719 1701186966.8078
MEM 594.886719 1701186966.9791
MEM 594.886719 1701186967.1504
MEM 594.886719 1701186967.3220
MEM 594.886719 1701186967.4935
MEM 594.886719 1701186967.6642
MEM 594.886719 1701186967.8352
MEM 594.886719 1701186967.9982
MEM 594.886719 1701186968.1570
MEM 594.886719 1701186968.3150
MEM 594.886719 1701186968.4874
MEM 594.886719 1701186968.6580
MEM 594.886719 1701186968.8293
MEM 594.886719 1701186968.9962
MEM 594.886719 1701186969.1671
MEM 594.886719 1701186969.3651
MEM 594.886719 1701186969.5358
MEM 594.886719 1701186969.7061
MEM 594.886719 1701186969.8996
MEM 594.886719 1701186970.0716
MEM 594.886719 1701186970.2430
MEM 594.886719 1701186970.4145
MEM 594.886719 1701186970.6543
MEM 594.886719 1701186970.8213
MEM 594.886719 1701186970.9914
