CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 3.757812 1701176290.5406
MEM 33.882812 1701176290.6780
MEM 53.359375 1701176290.8352
MEM 83.277344 1701176290.9802
MEM 90.539062 1701176291.1174
MEM 103.265625 1701176291.2545
MEM 117.675781 1701176291.3926
MEM 144.851562 1701176291.5315
MEM 158.191406 1701176291.6822
MEM 181.308594 1701176291.8283
MEM 268.640625 1701176291.9663
MEM 295.160156 1701176292.1041
MEM 368.300781 1701176292.2408
MEM 384.964844 1701176292.3750
MEM 399.203125 1701176292.5090
MEM 412.570312 1701176292.6423
MEM 412.570312 1701176292.7751
MEM 413.496094 1701176292.9087
MEM 424.101562 1701176293.0424
MEM 431.308594 1701176293.1757
MEM 436.257812 1701176293.3093
MEM 439.609375 1701176293.4431
MEM 444.824219 1701176293.5767
MEM 461.550781 1701176293.7098
MEM 476.242188 1701176293.8436
MEM 483.976562 1701176293.9770
MEM 491.195312 1701176294.1106
MEM 498.414062 1701176294.2442
MEM 505.632812 1701176294.3773
MEM 512.851562 1701176294.5114
MEM 520.328125 1701176294.6464
MEM 520.511719 1701176294.7809
MEM 520.511719 1701176294.9154
MEM 524.035156 1701176295.0487
MEM 531.253906 1701176295.1815
MEM 538.472656 1701176295.3143
MEM 545.691406 1701176295.4478
MEM 553.167969 1701176295.5811
MEM 559.871094 1701176295.7157
MEM 565.285156 1701176295.8489
MEM 571.472656 1701176295.9831
MEM 578.949219 1701176296.1196
MEM 586.167969 1701176296.2534
MEM 593.644531 1701176296.3864
MEM 601.121094 1701176296.5203
MEM 608.597656 1701176296.6538
MEM 615.210938 1701176296.7875
MEM 616.484375 1701176296.9205
MEM 620.144531 1701176297.0552
MEM 627.878906 1701176297.1901
MEM 635.097656 1701176297.3898
MEM 640.511719 1701176297.5407
MEM 643.863281 1701176297.7054
MEM 649.949219 1701176297.8404
MEM 651.574219 1701176297.9774
MEM 651.925781 1701176298.1115
MEM 653.003906 1701176298.2452
MEM 653.890625 1701176298.3785
MEM 654.058594 1701176298.5116
MEM 654.839844 1701176298.6447
MEM 656.031250 1701176298.7794
MEM 656.343750 1701176298.9133
MEM 656.691406 1701176299.0470
MEM 656.984375 1701176299.1800
MEM 658.128906 1701176299.3137
MEM 658.304688 1701176299.4472
MEM 658.304688 1701176299.5807
MEM 658.347656 1701176299.7163
MEM 659.550781 1701176299.8518
MEM 660.257812 1701176299.9858
MEM 661.449219 1701176300.1193
MEM 661.734375 1701176300.2527
MEM 661.851562 1701176300.3872
MEM 662.855469 1701176300.5209
MEM 663.316406 1701176300.6538
MEM 663.765625 1701176300.7876
MEM 664.222656 1701176300.9213
MEM 664.324219 1701176301.0551
MEM 664.859375 1701176301.1886
MEM 665.140625 1701176301.3231
MEM 665.289062 1701176301.4567
MEM 665.941406 1701176301.5897
MEM 666.609375 1701176301.7232
MEM 667.296875 1701176301.8558
MEM 667.410156 1701176301.9896
MEM 667.410156 1701176302.1238
MEM 667.460938 1701176302.2574
MEM 667.679688 1701176302.3911
MEM 668.449219 1701176302.5246
MEM 668.960938 1701176302.6583
MEM 669.453125 1701176302.7918
MEM 669.789062 1701176302.9256
MEM 670.242188 1701176303.0584
MEM 670.734375 1701176303.1918
MEM 671.234375 1701176303.3250
MEM 671.425781 1701176303.4585
MEM 671.554688 1701176303.5931
MEM 671.839844 1701176303.7273
MEM 672.351562 1701176303.8607
MEM 672.781250 1701176303.9938
MEM 672.910156 1701176304.1275
MEM 673.023438 1701176304.2609
MEM 673.542969 1701176304.3941
MEM 673.980469 1701176304.5273
MEM 673.980469 1701176304.6609
MEM 674.039062 1701176304.7948
MEM 674.644531 1701176304.9313
MEM 674.945312 1701176305.0688
MEM 675.453125 1701176305.2042
MEM 675.597656 1701176305.3395
MEM 675.968750 1701176305.4749
MEM 676.140625 1701176305.6096
MEM 676.695312 1701176305.7445
MEM 676.851562 1701176305.8794
MEM 677.007812 1701176306.0146
MEM 677.121094 1701176306.1503
