CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 526.410156 1701174966.2519
MEM 526.667969 1701174966.3846
MEM 526.925781 1701174966.5180
MEM 527.183594 1701174966.6508
MEM 527.441406 1701174966.7839
MEM 527.699219 1701174966.9173
MEM 527.957031 1701174967.0533
MEM 528.210938 1701174967.1873
MEM 528.468750 1701174967.3214
MEM 528.726562 1701174967.4540
MEM 528.992188 1701174967.5871
MEM 529.242188 1701174967.7199
MEM 529.496094 1701174967.8530
MEM 529.753906 1701174967.9863
MEM 529.847656 1701174968.1195
MEM 529.847656 1701174968.2526
MEM 530.070312 1701174968.3865
MEM 530.324219 1701174968.5205
MEM 530.578125 1701174968.6562
MEM 530.832031 1701174968.7900
MEM 531.089844 1701174968.9240
MEM 531.347656 1701174969.0576
MEM 531.605469 1701174969.1919
MEM 531.863281 1701174969.3256
MEM 532.089844 1701174969.4599
MEM 532.089844 1701174969.5934
MEM 532.347656 1701174969.7268
MEM 532.605469 1701174969.8602
MEM 532.863281 1701174969.9930
MEM 533.121094 1701174970.1245
MEM 533.378906 1701174970.2596
MEM 533.378906 1701174970.3930
MEM 533.378906 1701174970.5266
MEM 533.894531 1701174970.6604
MEM 534.152344 1701174970.7934
MEM 534.410156 1701174970.9270
MEM 534.667969 1701174971.0604
MEM 534.925781 1701174971.1930
MEM 535.183594 1701174971.3771
MEM 535.183594 1701174971.5117
MEM 535.441406 1701174971.6450
MEM 535.699219 1701174971.7795
MEM 535.957031 1701174971.9157
MEM 536.214844 1701174972.0983
MEM 536.472656 1701174972.2319
MEM 536.730469 1701174972.3645
MEM 536.730469 1701174972.4972
MEM 536.988281 1701174972.6304
MEM 537.453125 1701174972.7633
MEM 537.468750 1701174972.8964
MEM 537.472656 1701174973.0296
MEM 537.757812 1701174973.1629
MEM 537.882812 1701174973.2978
MEM 538.242188 1701174973.4361
MEM 538.460938 1701174973.5728
MEM 538.710938 1701174973.7094
MEM 538.964844 1701174973.8453
MEM 539.218750 1701174973.9821
MEM 539.472656 1701174974.1176
MEM 539.730469 1701174974.2530
MEM 539.953125 1701174974.3887
MEM 540.210938 1701174974.5242
MEM 540.468750 1701174974.6597
MEM 540.707031 1701174974.7939
MEM 540.960938 1701174974.9312
MEM 541.214844 1701174975.0658
MEM 541.472656 1701174975.1998
MEM 541.472656 1701174975.3336
MEM 541.472656 1701174975.4676
MEM 541.988281 1701174975.6014
