CMDLINE /Users/Q642074/miniconda3/envs/qiro/bin/python time_test_run.py
MEM 452.171875 1701178986.5698
MEM 453.640625 1701178986.6778
MEM 453.656250 1701178986.7847
MEM 446.234375 1701178986.8929
MEM 446.234375 1701178987.0011
MEM 453.375000 1701178987.1093
MEM 453.500000 1701178987.2175
MEM 449.234375 1701178987.3206
MEM 449.234375 1701178987.4288
MEM 449.234375 1701178987.5367
MEM 449.234375 1701178987.6448
MEM 449.875000 1701178987.7529
MEM 447.890625 1701178987.8614
MEM 447.890625 1701178987.9658
MEM 447.890625 1701178988.0739
MEM 448.437500 1701178988.1818
MEM 448.437500 1701178988.2897
MEM 447.234375 1701178988.3977
MEM 447.234375 1701178988.5056
MEM 447.234375 1701178988.6134
MEM 449.406250 1701178988.7214
MEM 448.421875 1701178988.8294
MEM 448.421875 1701178988.9374
MEM 448.421875 1701178989.0454
MEM 448.421875 1701178989.1535
MEM 446.421875 1701178989.2615
MEM 446.421875 1701178989.3694
MEM 452.750000 1701178989.4772
MEM 456.843750 1701178989.5853
MEM 456.843750 1701178989.6932
MEM 448.218750 1701178989.8012
MEM 448.218750 1701178989.9091
MEM 451.171875 1701178990.0171
MEM 452.296875 1701178990.1255
MEM 446.312500 1701178990.2299
MEM 446.312500 1701178990.3380
MEM 446.312500 1701178990.4459
MEM 447.671875 1701178990.5539
MEM 446.625000 1701178990.6619
MEM 446.625000 1701178990.7698
MEM 446.625000 1701178990.8777
MEM 448.500000 1701178990.9857
MEM 448.515625 1701178991.0887
MEM 447.515625 1701178991.1968
MEM 447.515625 1701178991.3048
MEM 447.515625 1701178991.4127
MEM 449.687500 1701178991.5206
MEM 449.687500 1701178991.6286
MEM 448.625000 1701178991.7366
MEM 448.625000 1701178991.8405
MEM 452.062500 1701178991.9484
MEM 453.515625 1701178992.0564
MEM 450.531250 1701178992.1644
MEM 450.531250 1701178992.2725
MEM 450.531250 1701178992.3805
MEM 450.531250 1701178992.4887
MEM 449.531250 1701178992.5967
MEM 449.531250 1701178992.7047
MEM 449.531250 1701178992.8128
MEM 449.546875 1701178992.9210
MEM 449.546875 1701178993.0290
MEM 448.546875 1701178993.1370
MEM 448.546875 1701178993.2448
MEM 449.171875 1701178993.3528
MEM 449.171875 1701178993.4608
MEM 448.187500 1701178993.5689
MEM 448.187500 1701178993.6769
MEM 448.187500 1701178993.7849
MEM 448.187500 1701178993.8929
MEM 448.187500 1701178994.0009
MEM 448.187500 1701178994.1089
MEM 448.187500 1701178994.2169
MEM 452.187500 1701178994.3252
MEM 451.640625 1701178994.4301
MEM 451.640625 1701178994.5391
MEM 451.640625 1701178994.6472
MEM 455.000000 1701178994.7553
MEM 455.000000 1701178994.8632
MEM 452.015625 1701178994.9713
MEM 452.015625 1701178995.0794
MEM 452.015625 1701178995.1876
MEM 452.015625 1701178995.2958
MEM 452.015625 1701178995.4038
MEM 451.015625 1701178995.5118
MEM 451.015625 1701178995.6198
MEM 456.296875 1701178995.7276
MEM 458.781250 1701178995.8325
MEM 453.796875 1701178995.9405
MEM 453.796875 1701178996.0484
MEM 453.796875 1701178996.1525
MEM 453.796875 1701178996.2604
MEM 451.796875 1701178996.3684
MEM 451.796875 1701178996.4764
MEM 451.796875 1701178996.5844
MEM 454.812500 1701178996.6925
MEM 454.828125 1701178996.8005
MEM 454.656250 1701178996.9084
MEM 454.656250 1701178997.0164
MEM 454.656250 1701178997.1243
MEM 454.656250 1701178997.2323
MEM 452.656250 1701178997.3403
MEM 452.656250 1701178997.4484
MEM 452.656250 1701178997.5525
MEM 453.359375 1701178997.6605
MEM 453.359375 1701178997.7685
MEM 453.359375 1701178997.8765
MEM 453.359375 1701178997.9844
MEM 453.359375 1701178998.0925
MEM 453.359375 1701178998.2007
MEM 453.359375 1701178998.3086
MEM 453.359375 1701178998.4166
MEM 459.156250 1701178998.5246
MEM 459.234375 1701178998.6326
MEM 454.250000 1701178998.7406
MEM 454.250000 1701178998.8488
MEM 454.250000 1701178998.9569
MEM 454.359375 1701178999.0648
MEM 454.359375 1701178999.1727
MEM 454.359375 1701178999.2811
MEM 454.359375 1701178999.3891
MEM 454.359375 1701178999.4970
MEM 454.375000 1701178999.6050
MEM 454.375000 1701178999.7130
MEM 453.375000 1701178999.8213
MEM 453.375000 1701178999.9294
MEM 453.375000 1701179000.0353
MEM 453.375000 1701179000.1432
MEM 453.375000 1701179000.2511
MEM 453.375000 1701179000.3592
MEM 453.375000 1701179000.4674
MEM 453.375000 1701179000.5755
MEM 453.375000 1701179000.6834
MEM 453.375000 1701179000.7913
MEM 453.375000 1701179000.8993
MEM 453.375000 1701179001.0072
MEM 453.375000 1701179001.1125
MEM 453.375000 1701179001.2206
MEM 453.375000 1701179001.3285
MEM 453.375000 1701179001.4365
MEM 453.375000 1701179001.5444
MEM 453.375000 1701179001.6523
MEM 453.375000 1701179001.7602
MEM 453.375000 1701179001.8682
MEM 453.437500 1701179001.9762
MEM 453.375000 1701179002.0842
MEM 453.375000 1701179002.1921
MEM 453.375000 1701179002.3000
MEM 453.390625 1701179002.4080
MEM 453.390625 1701179002.5160
MEM 453.390625 1701179002.6242
MEM 453.390625 1701179002.7287
MEM 453.390625 1701179002.8357
MEM 453.390625 1701179002.9436
MEM 453.390625 1701179003.0468
MEM 453.390625 1701179003.1547
MEM 453.390625 1701179003.2625
MEM 453.390625 1701179003.3705
MEM 453.390625 1701179003.4784
MEM 453.390625 1701179003.5864
MEM 453.390625 1701179003.6943
MEM 453.390625 1701179003.8023
MEM 453.390625 1701179003.9103
MEM 453.390625 1701179004.0182
MEM 453.390625 1701179004.1262
MEM 453.390625 1701179004.2342
MEM 453.390625 1701179004.3422
MEM 453.390625 1701179004.4503
MEM 453.390625 1701179004.5581
MEM 453.625000 1701179004.6661
MEM 453.781250 1701179004.7740
MEM 453.796875 1701179004.8804
MEM 453.390625 1701179004.9882
MEM 453.390625 1701179005.0961
MEM 453.390625 1701179005.2041
MEM 453.390625 1701179005.3121
MEM 453.390625 1701179005.4201
