CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run2.py
MEM 0.007812 1701187087.0990
MEM 32.035156 1701187087.2693
MEM 50.003906 1701187087.4388
MEM 81.496094 1701187087.6054
MEM 87.968750 1701187087.7782
MEM 98.140625 1701187087.9502
MEM 112.542969 1701187088.1356
MEM 140.281250 1701187088.3058
MEM 156.765625 1701187088.4770
MEM 182.839844 1701187088.6469
MEM 267.046875 1701187088.8169
MEM 292.703125 1701187088.9870
MEM 366.753906 1701187089.1576
MEM 384.132812 1701187089.3270
MEM 398.371094 1701187089.4969
MEM 410.738281 1701187089.6682
MEM 421.714844 1701187089.8396
MEM 428.160156 1701187090.0093
MEM 434.664062 1701187090.1788
MEM 438.015625 1701187090.3454
MEM 441.625000 1701187090.5155
MEM 459.972656 1701187090.6862
MEM 477.300781 1701187090.8558
MEM 484.777344 1701187091.0256
MEM 491.734375 1701187091.1962
MEM 498.437500 1701187091.3671
MEM 506.171875 1701187091.5258
MEM 512.359375 1701187091.6948
MEM 517.773438 1701187091.8608
MEM 519.835938 1701187092.0304
MEM 527.054688 1701187092.2005
MEM 534.015625 1701187092.3709
MEM 541.234375 1701187092.5415
MEM 548.195312 1701187092.7117
MEM 555.414062 1701187092.8836
MEM 562.371094 1701187093.0464
MEM 569.332031 1701187093.2163
MEM 576.550781 1701187093.3851
MEM 584.027344 1701187093.5549
MEM 590.988281 1701187093.7251
MEM 597.949219 1701187093.8959
MEM 604.652344 1701187094.0656
MEM 612.128906 1701187094.2266
MEM 615.480469 1701187094.3931
MEM 618.058594 1701187094.5641
MEM 625.019531 1701187094.7351
MEM 632.753906 1701187094.9061
MEM 639.714844 1701187095.0765
MEM 646.933594 1701187095.2467
MEM 648.738281 1701187095.4172
MEM 650.027344 1701187095.5867
MEM 651.058594 1701187095.7451
MEM 651.832031 1701187095.9157
MEM 652.605469 1701187096.0864
MEM 653.121094 1701187096.2580
MEM 653.894531 1701187096.4161
MEM 655.183594 1701187096.5856
MEM 655.441406 1701187096.7554
MEM 655.957031 1701187096.9260
MEM 656.472656 1701187097.0962
MEM 657.246094 1701187097.2663
MEM 657.246094 1701187097.4371
MEM 657.246094 1701187097.6091
MEM 658.277344 1701187097.7641
MEM 658.792969 1701187097.9347
MEM 659.566406 1701187098.1055
MEM 660.082031 1701187098.2760
MEM 660.339844 1701187098.4464
MEM 660.597656 1701187098.6173
MEM 661.113281 1701187098.7867
MEM 661.371094 1701187098.9488
MEM 662.144531 1701187099.1197
MEM 663.175781 1701187099.2913
MEM 663.433594 1701187099.4623
MEM 664.207031 1701187099.6334
MEM 664.464844 1701187099.8040
MEM 664.722656 1701187099.9739
MEM 665.238281 1701187100.1448
MEM 665.753906 1701187100.3155
MEM 666.011719 1701187100.4860
MEM 666.269531 1701187100.6563
MEM 666.527344 1701187100.8280
MEM 666.527344 1701187100.9991
MEM 666.785156 1701187101.1695
MEM 666.785156 1701187101.3396
MEM 667.558594 1701187101.5094
MEM 667.816406 1701187101.6797
MEM 667.816406 1701187101.8499
MEM 668.589844 1701187102.0201
MEM 669.363281 1701187102.1901
MEM 669.621094 1701187102.3617
MEM 669.878906 1701187102.5293
MEM 670.136719 1701187102.7002
MEM 671.167969 1701187102.8710
MEM 671.425781 1701187103.0419
MEM 671.941406 1701187103.2123
MEM 672.199219 1701187103.3838
MEM 672.457031 1701187103.5495
MEM 672.714844 1701187103.7243
MEM 672.972656 1701187103.8967
MEM 673.230469 1701187104.0678
MEM 673.488281 1701187104.2353
MEM 673.488281 1701187104.4072
MEM 673.746094 1701187104.5781
MEM 673.746094 1701187104.7369
MEM 674.261719 1701187104.8998
MEM 674.261719 1701187105.0544
MEM 674.519531 1701187105.2253
MEM 674.519531 1701187105.3961
MEM 674.777344 1701187105.5675
MEM 675.035156 1701187105.7316
MEM 675.035156 1701187105.8902
MEM 675.035156 1701187106.0605
MEM 675.292969 1701187106.2231
MEM 675.550781 1701187106.3932
MEM 675.550781 1701187106.5641
MEM 675.808594 1701187106.7347
MEM 675.808594 1701187106.8888
MEM 676.066406 1701187107.0617
MEM 676.066406 1701187107.2334
MEM 676.324219 1701187107.4043
MEM 676.324219 1701187107.5752
MEM 676.582031 1701187107.7424
MEM 676.582031 1701187107.9136
MEM 676.582031 1701187108.0849
MEM 676.582031 1701187108.2473
MEM 676.839844 1701187108.4122
MEM 676.839844 1701187108.5756
MEM 677.097656 1701187108.7345
MEM 677.097656 1701187108.9054
MEM 677.355469 1701187109.0766
MEM 677.355469 1701187109.2475
MEM 677.355469 1701187109.4183
MEM 677.613281 1701187109.5892
MEM 677.613281 1701187109.7599
MEM 677.871094 1701187109.9305
MEM 678.128906 1701187110.1013
MEM 678.128906 1701187110.2725
MEM 678.386719 1701187110.4314
MEM 678.386719 1701187110.6028
MEM 678.644531 1701187110.7575
MEM 678.902344 1701187110.9243
MEM 678.902344 1701187111.0911
MEM 679.160156 1701187111.2620
MEM 679.160156 1701187111.4294
MEM 679.160156 1701187111.6008
MEM 679.160156 1701187111.7732
MEM 679.417969 1701187111.9443
MEM 679.675781 1701187112.1150
MEM 679.675781 1701187112.2858
MEM 679.933594 1701187112.4489
MEM 680.191406 1701187112.6194
MEM 680.191406 1701187112.7739
MEM 680.449219 1701187112.9450
MEM 680.449219 1701187113.1151
MEM 680.707031 1701187113.2850
MEM 681.996094 1701187113.4476
MEM 682.253906 1701187113.6183
MEM 682.511719 1701187113.7885
MEM 682.769531 1701187113.9591
MEM 683.285156 1701187114.1295
MEM 683.800781 1701187114.3002
MEM 684.058594 1701187114.4667
MEM 684.574219 1701187114.6371
MEM 684.574219 1701187114.8079
MEM 684.832031 1701187114.9787
MEM 684.832031 1701187115.1458
MEM 684.832031 1701187115.3169
MEM 684.832031 1701187115.4884
MEM 685.089844 1701187115.6583
MEM 685.089844 1701187115.8283
MEM 685.347656 1701187115.9987
MEM 685.863281 1701187116.1691
MEM 686.121094 1701187116.3397
MEM 686.378906 1701187116.5123
MEM 686.378906 1701187116.6833
MEM 686.636719 1701187116.8541
MEM 686.636719 1701187117.0174
MEM 686.894531 1701187117.1881
MEM 686.894531 1701187117.4163
MEM 687.152344 1701187117.5872
MEM 687.152344 1701187117.7569
MEM 687.410156 1701187117.9499
MEM 687.410156 1701187118.1531
MEM 687.667969 1701187118.3242
MEM 687.667969 1701187118.4958
MEM 687.925781 1701187118.6668
MEM 687.925781 1701187118.8381
MEM 688.183594 1701187119.0099
MEM 688.183594 1701187119.1815
MEM 688.183594 1701187119.3525
MEM 688.183594 1701187119.5156
MEM 688.441406 1701187119.6880
MEM 688.699219 1701187119.8588
MEM 688.699219 1701187120.0306
MEM 688.957031 1701187120.2021
MEM 688.957031 1701187120.3733
MEM 688.957031 1701187120.5444
MEM 689.214844 1701187120.7152
MEM 689.472656 1701187120.8865
MEM 689.472656 1701187121.0508
MEM 689.472656 1701187121.2227
MEM 689.472656 1701187121.3945
MEM 689.730469 1701187121.5944
MEM 689.730469 1701187121.7673
MEM 689.730469 1701187121.9389
MEM 689.988281 1701187122.1115
MEM 689.988281 1701187122.2828
MEM 689.988281 1701187122.4383
MEM 689.988281 1701187122.6093
MEM 689.988281 1701187122.7805
MEM 690.246094 1701187122.9474
MEM 690.246094 1701187123.1066
MEM 690.246094 1701187123.2772
MEM 690.246094 1701187123.4488
MEM 690.503906 1701187123.6201
MEM 690.761719 1701187123.7912
MEM 690.761719 1701187123.9629
MEM 691.019531 1701187124.1341
MEM 691.019531 1701187124.3053
MEM 691.277344 1701187124.4780
