CMDLINE python RQAOA_run_recalculations_v2.py
MEM 2272.933594 1706516090.5568
MEM 2273.187500 1706516090.6922
MEM 2273.445312 1706516090.8282
MEM 2273.445312 1706516090.9637
MEM 2273.960938 1706516091.1014
MEM 2273.960938 1706516091.2378
MEM 2273.960938 1706516091.3740
MEM 2273.960938 1706516091.5107
MEM 2274.476562 1706516091.6485
MEM 2274.992188 1706516091.7849
MEM 2274.992188 1706516091.9209
MEM 2275.250000 1706516092.0565
MEM 2275.250000 1706516092.1921
MEM 2275.507812 1706516092.3288
MEM 2275.507812 1706516092.4656
MEM 2276.023438 1706516092.6010
MEM 2276.535156 1706516092.7369
MEM 2276.535156 1706516092.8845
MEM 2276.792969 1706516093.0199
MEM 2276.792969 1706516093.1572
MEM 2276.792969 1706516093.2942
MEM 2277.050781 1706516093.4309
MEM 2277.050781 1706516093.5673
MEM 2277.050781 1706516093.7037
MEM 2277.050781 1706516093.8407
MEM 2277.308594 1706516093.9771
MEM 2277.824219 1706516094.1130
MEM 2277.824219 1706516094.2493
MEM 2277.824219 1706516094.3853
MEM 2278.339844 1706516094.5214
MEM 2279.628906 1706516094.6580
MEM 2279.628906 1706516094.7964
MEM 2279.886719 1706516094.9352
MEM 2279.886719 1706516095.0738
MEM 2279.886719 1706516095.2121
MEM 2280.402344 1706516095.3513
MEM 2280.402344 1706516095.4898
MEM 2280.402344 1706516095.6286
MEM 2280.402344 1706516095.7680
MEM 2280.402344 1706516095.9074
MEM 2280.402344 1706516096.0476
MEM 2280.660156 1706516096.1882
MEM 2280.660156 1706516096.3260
MEM 2280.917969 1706516096.4655
MEM 2281.175781 1706516096.6052
MEM 2281.175781 1706516096.7449
MEM 2281.433594 1706516096.8846
MEM 2282.207031 1706516097.0237
MEM 2282.722656 1706516097.1626
MEM 2282.722656 1706516097.3035
MEM 2283.238281 1706516097.4535
MEM 2283.753906 1706516097.5928
MEM 2284.269531 1706516097.7321
MEM 2285.816406 1706516097.8703
MEM 2285.816406 1706516098.0092
MEM 2285.816406 1706516098.1480
MEM 2286.332031 1706516098.2876
MEM 2286.332031 1706516098.4264
MEM 2286.589844 1706516098.5651
MEM 2286.589844 1706516098.7037
MEM 2286.847656 1706516098.8423
MEM 2287.105469 1706516098.9810
MEM 2287.363281 1706516099.1193
MEM 2287.621094 1706516099.2586
MEM 2287.621094 1706516099.3968
MEM 2287.878906 1706516099.5340
MEM 2287.878906 1706516099.6731
MEM 2288.394531 1706516099.8123
MEM 2288.394531 1706516099.9511
MEM 2288.652344 1706516100.0892
MEM 2288.652344 1706516100.2279
MEM 2288.910156 1706516100.3686
MEM 2288.910156 1706516100.5071
MEM 2289.167969 1706516100.6465
MEM 2289.425781 1706516100.7853
MEM 2289.425781 1706516100.9242
MEM 2289.683594 1706516101.0634
MEM 2289.941406 1706516101.2121
MEM 2290.457031 1706516101.3508
MEM 2290.457031 1706516101.4895
MEM 2290.457031 1706516101.6278
MEM 2291.230469 1706516101.7662
MEM 2291.488281 1706516101.9050
MEM 2291.488281 1706516102.0439
MEM 2291.746094 1706516102.1822
MEM 2292.003906 1706516102.3215
MEM 2292.261719 1706516102.4601
MEM 2292.519531 1706516102.5981
MEM 2292.519531 1706516102.7364
MEM 2293.035156 1706516102.8763
MEM 2293.035156 1706516103.0162
MEM 2293.550781 1706516103.1569
MEM 2293.550781 1706516103.2966
MEM 2293.550781 1706516103.4365
MEM 2293.550781 1706516103.5763
MEM 2293.550781 1706516103.7161
MEM 2294.066406 1706516103.8563
MEM 2294.582031 1706516103.9966
MEM 2294.839844 1706516104.1355
MEM 2295.097656 1706516104.2746
MEM 2295.492188 1706516104.4136
MEM 2295.511719 1706516104.5525
MEM 2296.214844 1706516104.6906
MEM 2296.394531 1706516104.8292
MEM 2296.394531 1706516104.9676
MEM 2296.742188 1706516105.1056
MEM 2296.753906 1706516105.2459
MEM 2297.183594 1706516105.3842
MEM 2297.207031 1706516105.5224
MEM 2297.507812 1706516105.6624
MEM 2297.703125 1706516105.7997
MEM 2298.101562 1706516105.9367
MEM 2298.343750 1706516106.0753
MEM 2299.378906 1706516106.2390
MEM 2299.378906 1706516106.3786
MEM 2299.710938 1706516106.5165
MEM 2301.164062 1706516106.6574
MEM 2301.648438 1706516106.7979
MEM 2302.574219 1706516106.9366
MEM 2303.265625 1706516107.0766
MEM 2303.265625 1706516107.2159
MEM 2303.265625 1706516107.3556
MEM 2303.265625 1706516107.4939
MEM 2303.265625 1706516107.6938
MEM 2303.265625 1706516107.8333
MEM 2303.265625 1706516107.9735
MEM 2303.523438 1706516108.1135
MEM 2303.523438 1706516108.2536
MEM 2303.554688 1706516108.3944
MEM 2303.679688 1706516108.5407
MEM 2304.238281 1706516108.6806
MEM 2304.277344 1706516108.8210
MEM 2304.687500 1706516108.9615
MEM 2304.687500 1706516109.1011
MEM 2304.812500 1706516109.2420
MEM 2304.812500 1706516109.3826
MEM 2304.917969 1706516109.5231
MEM 2305.281250 1706516109.6639
MEM 2305.281250 1706516109.8048
MEM 2305.441406 1706516109.9442
MEM 2305.562500 1706516110.0844
MEM 2305.742188 1706516110.2243
MEM 2306.191406 1706516110.3639
MEM 2306.449219 1706516110.5033
MEM 2306.800781 1706516110.6423
MEM 2306.859375 1706516110.7825
MEM 2306.917969 1706516110.9215
MEM 2307.250000 1706516111.0605
MEM 2307.402344 1706516111.1973
MEM 2307.402344 1706516111.3348
MEM 2307.402344 1706516111.4733
MEM 2307.402344 1706516111.6130
MEM 2307.660156 1706516111.7526
MEM 2307.687500 1706516111.8924
MEM 2308.070312 1706516112.0324
MEM 2308.320312 1706516112.1721
MEM 2308.320312 1706516112.3125
MEM 2308.878906 1706516112.4566
MEM 2308.968750 1706516112.5954
MEM 2309.019531 1706516112.7348
MEM 2309.386719 1706516112.8744
MEM 2309.445312 1706516113.0147
MEM 2309.625000 1706516113.1545
MEM 2309.898438 1706516113.2944
MEM 2310.273438 1706516113.4340
MEM 2310.402344 1706516113.5736
MEM 2310.777344 1706516113.7131
MEM 2311.035156 1706516113.8541
MEM 2311.035156 1706516113.9936
MEM 2311.171875 1706516114.1323
MEM 2311.171875 1706516114.2713
MEM 2311.507812 1706516114.4097
MEM 2311.542969 1706516114.5486
MEM 2311.671875 1706516114.6880
MEM 2311.964844 1706516114.8273
MEM 2312.042969 1706516114.9686
MEM 2312.160156 1706516115.1076
MEM 2312.253906 1706516115.2488
MEM 2312.300781 1706516115.3897
MEM 2312.558594 1706516115.5297
MEM 2312.558594 1706516115.6690
MEM 2312.816406 1706516115.8085
MEM 2312.816406 1706516115.9490
MEM 2313.074219 1706516116.0893
MEM 2313.183594 1706516116.2293
MEM 2313.441406 1706516116.3689
MEM 2313.441406 1706516116.5085
MEM 2313.691406 1706516116.6477
MEM 2313.949219 1706516116.7865
MEM 2314.203125 1706516116.9257
MEM 2314.710938 1706516117.0642
MEM 2314.968750 1706516117.2025
MEM 2315.222656 1706516117.3402
MEM 2315.222656 1706516117.4782
MEM 2315.222656 1706516117.6150
MEM 2315.480469 1706516117.7528
MEM 2315.480469 1706516117.8911
MEM 2315.738281 1706516118.0295
MEM 2315.996094 1706516118.1680
MEM 2315.996094 1706516118.3049
MEM 2316.253906 1706516118.4430
MEM 2316.500000 1706516118.5819
MEM 2316.500000 1706516118.7193
MEM 2316.500000 1706516118.8577
MEM 2316.933594 1706516118.9958
MEM 2316.933594 1706516119.1336
MEM 2317.191406 1706516119.2716
MEM 2317.191406 1706516119.4095
MEM 2317.449219 1706516119.5471
MEM 2317.707031 1706516119.6845
MEM 2317.949219 1706516119.8234
MEM 2317.949219 1706516119.9608
MEM 2317.949219 1706516120.0985
MEM 2318.433594 1706516120.2370
MEM 2318.433594 1706516120.3754
MEM 2318.691406 1706516120.5144
MEM 2318.945312 1706516120.6533
MEM 2319.460938 1706516120.7917
MEM 2319.718750 1706516120.9304
MEM 2319.718750 1706516121.0697
MEM 2320.234375 1706516121.2246
MEM 2320.750000 1706516121.3645
MEM 2321.007812 1706516121.5019
MEM 2321.007812 1706516121.6403
MEM 2321.523438 1706516121.7774
MEM 2321.523438 1706516121.9139
MEM 2321.523438 1706516122.0517
MEM 2322.035156 1706516122.1885
MEM 2322.035156 1706516122.3252
MEM 2322.035156 1706516122.4608
MEM 2322.289062 1706516122.6002
MEM 2322.289062 1706516122.7394
MEM 2322.546875 1706516122.8776
MEM 2322.804688 1706516123.0160
MEM 2323.062500 1706516123.1537
