CMDLINE taskset -c 100-199 python RQAOA_run_recalculations_v1.py
MEM 1.480469 1710424983.0588
MEM 35.359375 1710424983.1984
MEM 55.328125 1710424983.3485
MEM 76.757812 1710424983.4970
MEM 87.292969 1710424983.6370
MEM 97.710938 1710424983.7770
MEM 113.402344 1710424983.9167
MEM 140.042969 1710424984.0566
MEM 150.339844 1710424984.2027
MEM 178.015625 1710424984.3428
MEM 258.160156 1710424984.4828
MEM 288.664062 1710424984.6225
MEM 362.996094 1710424984.7622
MEM 379.914062 1710424984.8967
MEM 387.109375 1710424985.0318
MEM 403.464844 1710424985.1661
MEM 409.515625 1710424985.3002
MEM 410.398438 1710424985.4343
MEM 423.214844 1710424985.5687
MEM 430.421875 1710424985.7037
MEM 435.179688 1710424985.8394
MEM 437.757812 1710424985.9736
MEM 440.847656 1710424986.1339
MEM 457.050781 1710424986.3115
MEM 461.679688 1710424986.4586
MEM 773.566406 1710424986.5938
MEM 779.753906 1710424986.7281
MEM 786.199219 1710424986.8624
MEM 792.386719 1710424986.9975
MEM 798.316406 1710424987.1322
MEM 804.304688 1710424987.2677
MEM 805.566406 1710424987.4024
MEM 809.933594 1710424987.5366
MEM 810.351562 1710424987.6706
MEM 811.125000 1710424987.8046
MEM 811.898438 1710424987.9386
MEM 812.414062 1710424988.0743
MEM 813.187500 1710424988.2091
MEM 813.703125 1710424988.3442
MEM 814.210938 1710424988.4785
MEM 814.468750 1710424988.6141
MEM 814.726562 1710424988.7501
MEM 814.972656 1710424988.8862
MEM 815.488281 1710424989.0223
MEM 815.746094 1710424989.1585
MEM 816.003906 1710424989.2947
MEM 816.261719 1710424989.4312
MEM 816.261719 1710424989.5688
MEM 816.519531 1710424989.7047
MEM 816.777344 1710424989.8405
MEM 817.035156 1710424989.9766
MEM 817.292969 1710424990.1136
MEM 817.550781 1710424990.2509
MEM 817.808594 1710424990.3883
MEM 818.066406 1710424990.5227
MEM 818.324219 1710424990.6605
MEM 818.582031 1710424990.7987
MEM 818.839844 1710424990.9353
MEM 819.097656 1710424991.0716
