CMDLINE /Users/Q642074/miniconda3/envs/qiro/bin/python time_test_run.py
MEM 0.343750 1701178917.8596
MEM 21.437500 1701178917.9682
MEM 22.734375 1701178918.0769
MEM 23.265625 1701178918.1838
MEM 24.500000 1701178918.2972
MEM 27.234375 1701178918.4062
MEM 28.703125 1701178918.5124
MEM 28.859375 1701178918.6212
MEM 28.859375 1701178918.7296
MEM 29.640625 1701178918.8400
MEM 30.921875 1701178918.9522
MEM 32.093750 1701178919.0576
MEM 34.718750 1701178919.1663
MEM 35.468750 1701178919.2770
MEM 38.484375 1701178919.3824
MEM 39.812500 1701178919.4906
MEM 40.343750 1701178919.5986
MEM 41.328125 1701178919.7074
MEM 42.156250 1701178919.8163
MEM 42.625000 1701178919.9276
MEM 42.843750 1701178920.0337
MEM 44.640625 1701178920.1420
MEM 45.515625 1701178920.2508
MEM 46.468750 1701178920.3594
MEM 47.500000 1701178920.4722
MEM 48.109375 1701178920.5802
MEM 49.406250 1701178920.6855
MEM 49.546875 1701178920.7943
MEM 50.890625 1701178920.9030
MEM 52.218750 1701178921.0117
MEM 56.328125 1701178921.1208
MEM 59.359375 1701178921.2295
MEM 62.109375 1701178921.3381
MEM 63.390625 1701178921.4469
MEM 64.671875 1701178921.5554
MEM 67.125000 1701178921.6647
MEM 68.625000 1701178921.7732
MEM 69.781250 1701178921.8818
MEM 70.187500 1701178921.9929
MEM 71.656250 1701178922.1068
MEM 72.250000 1701178922.2163
MEM 73.125000 1701178922.3291
MEM 75.109375 1701178922.4415
MEM 76.046875 1701178922.5495
MEM 76.578125 1701178922.6612
MEM 78.406250 1701178922.7723
MEM 81.843750 1701178922.8851
MEM 82.687500 1701178922.9944
MEM 83.281250 1701178923.1002
MEM 84.031250 1701178923.2078
MEM 84.609375 1701178923.3204
MEM 85.531250 1701178923.4291
MEM 88.093750 1701178923.5347
MEM 89.593750 1701178923.6453
MEM 90.218750 1701178923.7569
MEM 91.359375 1701178923.8683
MEM 92.031250 1701178923.9834
MEM 92.859375 1701178924.0932
MEM 93.625000 1701178924.2040
MEM 94.296875 1701178924.3123
MEM 94.859375 1701178924.4232
MEM 95.468750 1701178924.5364
MEM 96.234375 1701178924.6447
MEM 97.062500 1701178924.7548
MEM 98.390625 1701178924.8645
MEM 99.500000 1701178924.9754
MEM 100.453125 1701178925.0880
MEM 100.921875 1701178925.2015
MEM 101.875000 1701178925.3127
MEM 103.296875 1701178925.4251
MEM 104.312500 1701178925.5378
MEM 105.500000 1701178925.6488
MEM 106.234375 1701178925.7598
MEM 108.109375 1701178925.8710
MEM 108.640625 1701178925.9864
MEM 109.828125 1701178926.0974
MEM 111.015625 1701178926.2086
MEM 114.609375 1701178926.3156
MEM 116.328125 1701178926.4267
MEM 117.515625 1701178926.5381
MEM 118.171875 1701178926.6496
MEM 120.000000 1701178926.7602
MEM 121.937500 1701178926.8716
MEM 122.625000 1701178926.9832
MEM 123.875000 1701178927.0933
MEM 124.406250 1701178927.2017
MEM 125.750000 1701178927.3067
MEM 126.968750 1701178927.4187
MEM 127.859375 1701178927.5295
MEM 129.390625 1701178927.6422
MEM 130.156250 1701178927.7546
MEM 131.203125 1701178927.8642
MEM 133.093750 1701178927.9761
MEM 134.140625 1701178928.0872
MEM 135.421875 1701178928.1938
MEM 136.718750 1701178928.3026
MEM 137.953125 1701178928.4089
MEM 138.937500 1701178928.5162
MEM 139.984375 1701178928.6279
MEM 141.890625 1701178928.7366
MEM 144.328125 1701178928.8474
MEM 144.906250 1701178928.9560
MEM 145.406250 1701178929.0678
MEM 146.265625 1701178929.1747
MEM 146.734375 1701178929.2828
MEM 147.140625 1701178929.3941
MEM 147.625000 1701178929.5069
MEM 148.140625 1701178929.6156
MEM 148.359375 1701178929.7270
MEM 148.906250 1701178929.8385
MEM 149.421875 1701178929.9507
MEM 151.437500 1701178930.0596
MEM 151.984375 1701178930.1710
MEM 152.500000 1701178930.2794
MEM 153.515625 1701178930.3918
MEM 154.625000 1701178930.5009
MEM 155.671875 1701178930.6123
MEM 157.609375 1701178930.7236
MEM 158.125000 1701178930.8364
MEM 158.671875 1701178930.9426
MEM 158.921875 1701178931.0506
MEM 159.468750 1701178931.1592
MEM 160.328125 1701178931.2722
MEM 161.156250 1701178931.3831
MEM 161.781250 1701178931.4908
MEM 163.359375 1701178931.6025
MEM 163.390625 1701178931.7102
MEM 165.281250 1701178931.8148
MEM 193.718750 1701178931.9227
MEM 215.640625 1701178932.0307
MEM 230.140625 1701178932.1384
MEM 232.562500 1701178932.2470
MEM 234.859375 1701178932.3534
MEM 235.750000 1701178932.4592
MEM 238.453125 1701178932.5704
MEM 239.140625 1701178932.6824
MEM 239.843750 1701178932.7899
MEM 240.453125 1701178932.8976
MEM 242.109375 1701178933.0112
